City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Samarai,PG,-10.6167,150.6667,84.11,72,39,7.74,scattered clouds
1,Dikson,RU,73.5069,80.5464,17.83,95,98,10.45,overcast clouds
2,Rikitea,PF,-23.1203,-134.9692,71.46,74,31,16.51,scattered clouds
3,Dingle,PH,10.9995,122.6711,85.01,73,36,9.57,scattered clouds
4,Saint-Philippe,RE,-21.3585,55.7679,71.19,80,76,6.71,broken clouds
5,Saint George,US,37.1041,-113.5841,55.94,35,42,1.68,scattered clouds
6,Freetown,SL,8.484,-13.2299,78.55,78,0,4.09,clear sky
7,Kalmunai,LK,7.4167,81.8167,79.05,81,87,3.49,overcast clouds
8,Tasiilaq,GL,65.6145,-37.6368,28.4,90,100,4.5,overcast clouds
9,Atuona,PF,-9.8,-139.0333,77.13,73,11,15.37,few clouds
10,Hilo,US,19.7297,-155.09,82.26,82,74,7.0,broken clouds
11,Chokurdakh,RU,70.6333,147.9167,7.34,97,100,3.89,light snow
12,Kieta,PG,-6.2167,155.6333,84.51,73,100,8.9,light rain
13,Sibolga,ID,1.7427,98.7792,82.2,73,93,0.74,overcast clouds
14,Narva-Joesuu,EE,59.4589,28.0408,36.23,72,100,16.37,overcast clouds
15,Kefalos,GR,36.7453,26.9589,66.42,77,40,12.66,scattered clouds
16,Sawtell,AU,-30.3833,153.1,71.19,64,100,9.22,overcast clouds
17,Ponta Do Sol,PT,32.6667,-17.1,69.01,85,27,4.16,scattered clouds
18,Lebu,CL,-37.6167,-73.65,50.81,89,3,5.19,clear sky
19,Kapaa,US,22.0752,-159.319,81.1,79,75,14.97,broken clouds
20,Port Alfred,ZA,-33.5906,26.891,66.69,74,57,3.11,broken clouds
21,Carnarvon,AU,-24.8667,113.6333,70.57,63,10,17.58,clear sky
22,Deputatskiy,RU,69.3,139.9,-4.54,96,100,6.71,light snow
23,Kamogawa,JP,35.1,140.1,61.12,61,100,12.97,overcast clouds
24,College,US,64.8569,-147.8028,7.9,86,7,1.23,clear sky
25,Cape Town,ZA,-33.9258,18.4232,63.12,84,0,12.66,clear sky
26,Fortuna,US,40.5982,-124.1573,52.66,100,100,2.86,overcast clouds
27,Vila Franca Do Campo,PT,37.7167,-25.4333,58.19,79,99,3.53,overcast clouds
28,Albany,US,42.6001,-73.9662,68.72,74,93,3.0,overcast clouds
29,Nikolskoye,RU,59.7035,30.7861,31.91,74,100,10.54,overcast clouds
30,Vardo,NO,70.3705,31.1107,40.98,87,100,13.8,overcast clouds
31,Tura,IN,25.5198,90.2201,71.19,79,0,1.9,clear sky
32,New Norfolk,AU,-42.7826,147.0587,74.71,37,83,5.99,broken clouds
33,Bambous Virieux,MU,-20.3428,57.7575,71.22,88,40,4.61,scattered clouds
34,Quatre Cocos,MU,-20.2078,57.7625,71.1,79,13,8.97,few clouds
35,Chuy,UY,-33.6971,-53.4616,58.14,90,0,9.19,clear sky
36,Khatanga,RU,71.9667,102.5,-19.62,100,30,5.95,scattered clouds
37,Sakakah,SA,29.9697,40.2064,63.97,44,0,7.56,clear sky
38,Norman Wells,CA,65.282,-126.8329,6.84,78,100,14.97,light snow
39,Kozachi Laheri,UA,46.7037,32.9776,40.08,85,56,9.37,broken clouds
40,Herat,AF,34.5,62.0,53.62,63,7,4.9,light rain
41,Punta Arenas,CL,-53.15,-70.9167,55.51,54,0,9.22,clear sky
42,Ginsheim-Gustavsburg,DE,49.9858,8.3425,44.31,94,75,4.61,mist
43,Pathalgaon,IN,22.5667,83.4667,66.87,62,0,1.54,clear sky
44,Avarua,CK,-21.2078,-159.775,77.05,69,40,8.05,scattered clouds
45,Puerto Ayora,EC,-0.7393,-90.3518,65.89,78,14,10.85,few clouds
