City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Esperance,AU,2022-11-03 02:57:07,-33.8667,121.9,65.77,57,92,6.98
1,Albany,US,2022-11-03 02:57:07,42.6001,-73.9662,49.73,66,34,2.06
2,Butaritari,KI,2022-11-03 02:57:08,3.0707,172.7902,81.48,66,79,14.63
3,Khatanga,RU,2022-11-03 02:57:08,71.9667,102.5,15.57,93,100,18.66
4,Cidreira,BR,2022-11-03 02:57:08,-30.1811,-50.2056,55.24,70,0,1.52
5,Punta Arenas,CL,2022-11-03 02:57:08,-53.15,-70.9167,50.11,57,0,28.77
6,Okmulgee,US,2022-11-03 02:54:28,35.6234,-95.9605,62.38,82,45,11.12
7,Russell,US,2022-11-03 02:57:09,32.3502,-85.1999,62.01,74,0,4.5
8,Hobart,AU,2022-11-03 02:52:42,-42.8794,147.3294,63.05,57,75,23.02
9,Myitkyina,MM,2022-11-03 02:57:09,25.3833,97.4,75.63,49,0,0.56
10,Busselton,AU,2022-11-03 02:57:10,-33.65,115.3333,70.88,53,100,6.91
11,Boende,CD,2022-11-03 02:57:10,-0.2167,20.8667,68.47,99,100,1.79
12,Popondetta,PG,2022-11-03 02:57:11,-8.7537,148.2534,92.01,48,96,7.2
13,Fort Nelson,CA,2022-11-03 02:54:46,58.8053,-122.7002,11.79,79,75,6.91
14,Nikolskoye,RU,2022-11-03 02:57:12,59.7035,30.7861,40.91,88,100,3.24
15,Puerto Ayora,EC,2022-11-03 02:57:12,-0.7393,-90.3518,67.8,84,87,8.88
16,Hambantota,LK,2022-11-03 02:57:13,6.1241,81.1185,80.94,94,40,2.3
17,Sinazongwe,ZM,2022-11-03 02:57:13,-17.2614,27.4618,73.54,74,87,2.73
18,Lata,PT,2022-11-03 02:57:13,40.1629,-8.3327,56.07,89,100,3.62
19,Chalus,IR,2022-11-03 02:57:14,36.655,51.4204,56.66,94,40,2.3
20,Tuktoyaktuk,CA,2022-11-03 02:57:14,69.4541,-133.0374,8.6,78,75,21.85
21,Provideniya,RU,2022-11-03 02:57:14,64.3833,-173.3,15.91,53,0,13.42
22,Kysyl-Syr,RU,2022-11-03 02:57:15,63.8986,122.7617,20.7,94,100,7.09
23,Saskylakh,RU,2022-11-03 02:57:15,71.9167,114.0833,6.01,91,100,13.53
